filename,y_min,y_max,x_min,x_max,height,width,size
cr1_0066p_00004.cbf,533,562,285,323,29,38,1102
cr1_0066p_00005.cbf,533,562,285,322,29,37,1073
cr1_0066p_00006.cbf,533,563,285,322,30,37,1110
cr1_0066p_00007.cbf,533,563,285,323,30,38,1140
cr1_0066p_00008.cbf,533,564,284,322,31,38,1178
cr1_0067p_00001.cbf,533,564,285,323,31,38,1178
cr1_0067p_00002.cbf,533,564,285,323,31,38,1178
cr1_0067p_00003.cbf,533,563,285,323,30,38,1140
cr1_0067p_00004.cbf,533,562,284,322,29,38,1102
cr1_0067p_00005.cbf,533,563,284,321,30,37,1110
cr1_0067p_00006.cbf,533,563,284,322,30,38,1140
cr1_0067p_00007.cbf,533,563,285,323,30,38,1140
cr1_0067p_00008.cbf,533,564,284,323,31,39,1209
cr1_0068p_00001.cbf,533,564,285,323,31,38,1178
cr1_0068p_00002.cbf,533,563,285,323,30,38,1140
cr1_0068p_00003.cbf,533,563,285,323,30,38,1140
cr1_0068p_00004.cbf,533,562,284,322,29,38,1102
cr1_0068p_00005.cbf,533,562,284,321,29,37,1073
cr1_0068p_00006.cbf,533,562,285,322,29,37,1073
cr1_0068p_00007.cbf,533,563,285,323,30,38,1140
cr1_0068p_00008.cbf,533,564,285,323,31,38,1178
cr1_0069p_00001.cbf,533,564,285,324,31,39,1209
cr1_0069p_00002.cbf,533,564,285,323,31,38,1178
cr1_0069p_00003.cbf,533,563,285,323,30,38,1140
cr1_0069p_00004.cbf,533,562,285,322,29,37,1073
cr1_0069p_00005.cbf,533,562,285,322,29,37,1073
cr1_0069p_00006.cbf,533,562,285,323,29,38,1102
cr1_0069p_00007.cbf,533,563,285,323,30,38,1140
cr1_0069p_00008.cbf,533,564,285,323,31,38,1178
cr1_0070p_00001.cbf,533,564,286,324,31,38,1178
cr1_0070p_00002.cbf,533,564,285,323,31,38,1178
cr1_0070p_00003.cbf,533,563,285,323,30,38,1140
cr1_0070p_00004.cbf,533,562,285,323,29,38,1102
cr1_0070p_00005.cbf,533,562,286,324,29,38,1102
cr1_0070p_00006.cbf,533,562,286,324,29,38,1102
cr1_0070p_00007.cbf,533,563,286,324,30,38,1140
cr1_0070p_00008.cbf,533,564,285,323,31,38,1178
cr1_0071p_00001.cbf,533,564,286,324,31,38,1178
cr1_0071p_00002.cbf,533,564,286,323,31,37,1147
cr1_0071p_00003.cbf,533,564,285,323,31,38,1178
cr1_0071p_00004.cbf,533,563,285,322,30,37,1110
cr1_0071p_00005.cbf,533,563,284,322,30,38,1140
cr1_0071p_00006.cbf,533,563,284,322,30,38,1140
cr1_0071p_00007.cbf,533,563,285,323,30,38,1140
cr1_0071p_00008.cbf,533,563,285,323,30,38,1140
cr1_0072p_00001.cbf,533,564,286,324,31,38,1178
cr1_0072p_00002.cbf,533,564,285,323,31,38,1178
cr1_0072p_00003.cbf,533,563,285,323,30,38,1140
cr1_0072p_00004.cbf,533,562,284,321,29,37,1073
cr1_0072p_00005.cbf,533,563,283,321,30,38,1140
cr1_0072p_00006.cbf,533,562,284,322,29,38,1102
cr1_0072p_00007.cbf,533,563,285,323,30,38,1140
cr1_0072p_00008.cbf,533,563,285,323,30,38,1140
cr1_0073p_00001.cbf,533,564,286,324,31,38,1178
cr1_0073p_00002.cbf,533,564,285,323,31,38,1178
cr1_0073p_00003.cbf,533,564,284,322,31,38,1178
cr1_0073p_00004.cbf,533,562,283,321,29,38,1102
cr1_0073p_00005.cbf,533,563,283,320,30,37,1110
cr1_0073p_00006.cbf,533,562,284,321,29,37,1073
cr1_0073p_00007.cbf,533,562,285,323,29,38,1102
cr1_0073p_00008.cbf,533,563,285,323,30,38,1140
cr1_0074p_00001.cbf,533,564,286,324,31,38,1178
cr1_0074p_00002.cbf,533,564,285,323,31,38,1178
cr1_0074p_00003.cbf,533,564,284,322,31,38,1178
cr1_0074p_00004.cbf,533,563,283,320,30,37,1110
cr1_0074p_00005.cbf,533,563,282,320,30,38,1140
cr1_0074p_00006.cbf,533,562,284,322,29,38,1102
cr1_0074p_00007.cbf,533,563,285,323,30,38,1140
cr1_0074p_00008.cbf,533,563,285,324,30,39,1170
cr1_0075p_00001.cbf,533,564,286,325,31,39,1209
cr1_0075p_00002.cbf,533,564,285,323,31,38,1178
cr1_0075p_00003.cbf,533,563,284,322,30,38,1140
cr1_0075p_00004.cbf,533,563,283,321,30,38,1140
cr1_0075p_00005.cbf,533,562,282,320,29,38,1102
cr1_0075p_00006.cbf,533,563,284,322,30,38,1140
cr1_0075p_00007.cbf,533,563,285,323,30,38,1140
cr1_0075p_00008.cbf,533,563,285,323,30,38,1140
cr1_0076p_00001.cbf,533,564,286,324,31,38,1178
cr1_0076p_00002.cbf,533,563,285,323,30,38,1140
cr1_0076p_00003.cbf,533,562,284,322,29,38,1102
cr1_0076p_00004.cbf,533,562,284,321,29,37,1073
cr1_0076p_00005.cbf,533,561,285,323,28,38,1064
cr1_0076p_00006.cbf,533,562,286,323,29,37,1073
cr1_0076p_00007.cbf,533,562,286,324,29,38,1102
cr1_0076p_00008.cbf,533,562,285,323,29,38,1102
cr1_0077p_00001.cbf,533,563,286,324,30,38,1140
cr1_0077p_00002.cbf,533,563,285,323,30,38,1140
cr1_0077p_00003.cbf,532,562,286,324,30,38,1140
cr1_0077p_00004.cbf,533,562,287,324,29,37,1073
cr1_0077p_00005.cbf,532,561,288,325,29,37,1073
cr1_0077p_00006.cbf,532,561,288,326,29,38,1102
cr1_0077p_00007.cbf,532,562,287,325,30,38,1140
cr1_0077p_00008.cbf,533,563,286,324,30,38,1140
cr1_0078p_00001.cbf,532,563,286,324,31,38,1178
cr1_0078p_00002.cbf,533,563,286,324,30,38,1140
cr1_0078p_00003.cbf,532,562,287,325,30,38,1140
cr1_0078p_00004.cbf,532,561,287,325,29,38,1102
cr1_0078p_00005.cbf,532,561,288,325,29,37,1073
cr1_0078p_00006.cbf,532,561,288,326,29,38,1102
cr1_0078p_00007.cbf,532,561,287,325,29,38,1102
cr1_0078p_00008.cbf,532,562,286,324,30,38,1140
cr1_0079p_00001.cbf,533,562,286,324,29,38,1102
cr1_0079p_00002.cbf,533,562,286,324,29,38,1102
cr1_0079p_00003.cbf,532,562,286,324,30,38,1140
cr1_0079p_00004.cbf,532,562,287,325,30,38,1140
cr1_0079p_00005.cbf,532,561,287,325,29,38,1102
cr1_0079p_00006.cbf,533,562,287,325,29,38,1102
cr1_0079p_00007.cbf,532,562,287,324,30,37,1110
cr1_0079p_00008.cbf,533,563,285,323,30,38,1140
cr1_0080p_00001.cbf,533,563,286,323,30,37,1110
cr1_0080p_00002.cbf,533,563,286,324,30,38,1140
cr1_0080p_00003.cbf,533,562,286,324,29,38,1102
cr1_0080p_00004.cbf,532,562,286,324,30,38,1140
cr1_0080p_00005.cbf,533,561,287,324,28,37,1036
cr1_0080p_00006.cbf,532,561,287,324,29,37,1073
cr1_0080p_00007.cbf,532,562,286,324,30,38,1140
cr1_0080p_00008.cbf,533,562,285,323,29,38,1102
cr1_0081p_00001.cbf,533,562,285,323,29,38,1102
cr1_0081p_00002.cbf,533,562,285,323,29,38,1102
cr1_0081p_00003.cbf,533,562,286,323,29,37,1073
cr1_0081p_00004.cbf,533,561,286,324,28,38,1064
cr1_0081p_00005.cbf,533,561,287,324,28,37,1036
cr1_0081p_00006.cbf,532,561,286,324,29,38,1102
cr1_0081p_00007.cbf,532,561,286,323,29,37,1073
cr1_0081p_00008.cbf,533,562,285,322,29,37,1073
cr1_0082p_00001.cbf,533,562,286,323,29,37,1073
